team,elo,fifa_rank,group,position
Mexico,1790,15,A,A1
South Africa,1620,60,A,A2
Korea Republic,1770,25,A,A3
Czechia,1760,41,A,A4
Canada,1750,30,B,B1
Bosnia and Herzegovina,1700,65,B,B2
Qatar,1680,55,B,B3
Switzerland,1850,19,B,B4
Brazil,2020,6,C,C1
Morocco,1860,8,C,C2
Haiti,1500,83,C,C3
Scotland,1740,43,C,C4
USA,1770,16,D,D1
Paraguay,1720,40,D,D2
Australia,1720,27,D,D3
Turkey,1790,22,D,D4
Germany,1940,10,E,E1
Curacao,1500,82,E,E2
Ivory Coast,1730,34,E,E3
Ecuador,1820,23,E,E4
Netherlands,2030,7,F,F1
Japan,1840,18,F,F2
Sweden,1830,38,F,F3
Tunisia,1690,44,F,F4
Belgium,1930,9,G,G1
Egypt,1700,29,G,G2
Iran,1780,21,G,G3
New Zealand,1500,85,G,G4
Spain,2110,2,H,H1
Cabo Verde,1580,69,H,H2
Saudi Arabia,1640,61,H,H3
Uruguay,1900,17,H,H4
France,2080,1,I,I1
Senegal,1810,14,I,I2
Iraq,1610,57,I,I3
Norway,1810,31,I,I4
Argentina,2140,3,J,J1
Algeria,1740,28,J,J2
Austria,1810,24,J,J3
Jordan,1560,63,J,J4
Portugal,2000,5,K,K1
Congo DR,1660,46,K,K2
Uzbekistan,1660,50,K,K3
Colombia,1880,13,K,K4
England,2010,4,L,L1
Croatia,1880,11,L,L2
Ghana,1660,74,L,L3
Panama,1640,33,L,L4
