Rank,Team,Elo,FIFA Rank,Make R32,Make R16,Make QF,Make SF,Make Final,Win Title
1,Spain,2165,2,99.478,77.275,58.585,47.139,34.47,23.83
2,Argentina,2113,3,98.039,67.661,53.084,38.347,26.131,15.808
3,France,2081,1,96.344,73.776,52.518,36.837,21.26,12.681
4,England,2020,4,97.223,65.853,42.358,25.558,14.057,7.104
5,Brazil,1988,6,96.017,60.418,36.314,20.787,10.162,4.713
6,Portugal,1984,5,93.159,59.299,34.213,18.428,9.785,4.55
7,Colombia,1977,13,92.742,58.395,33.153,17.843,9.473,4.297
8,Netherlands,1961,7,93.256,55.048,34.78,18.294,8.23,3.662
9,Ecuador,1935,23,95.993,57.473,28.471,15.367,6.576,2.669
10,Germany,1925,10,95.486,55.71,27.032,14.367,6.009,2.387
11,Norway,1917,31,83.383,47.262,25.546,12.646,5.22,2.076
12,Turkey,1906,22,86.144,55.944,28.777,11.436,4.952,1.926
13,Switzerland,1894,19,96.847,63.011,30.136,12.125,4.981,1.853
14,Croatia,1908,11,91.277,47.677,22.993,11.212,4.808,1.817
15,Japan,1906,18,88.734,45.92,25.312,11.776,4.507,1.731
16,Belgium,1888,9,93.338,58.1,28.826,10.376,4.502,1.621
17,Uruguay,1892,17,90.851,37.921,20.503,9.693,4.053,1.319
18,Mexico,1867,15,92.57,56.735,25.539,10.052,3.653,1.298
19,Senegal,1867,14,75.012,37.544,18.256,7.635,2.764,0.889
20,Paraguay,1832,40,74.196,40.519,16.536,5.676,2.063,0.67
21,Morocco,1824,8,81.289,35.028,15.481,5.846,1.835,0.574
22,Austria,1830,24,72.853,24.589,10.86,4.158,1.537,0.446
23,Canada,1793,30,91.242,48.139,18.597,5.58,1.611,0.44
24,Australia,1774,27,61.563,29.001,9.734,2.981,0.954,0.237
25,Iran,1764,21,79.024,35.842,11.847,3.137,0.939,0.233
26,Korea Republic,1756,25,79.737,38.277,13.491,3.681,0.965,0.23
27,Scotland,1770,43,71.669,26.651,10.057,3.223,0.82,0.176
28,Czechia,1733,41,75.676,34.472,11.388,2.774,0.68,0.168
29,Panama,1733,33,63.971,19.395,6.217,1.723,0.454,0.107
30,Algeria,1743,28,52.439,14.906,5.332,1.592,0.455,0.088
31,USA,1733,16,51.577,21.385,6.39,1.657,0.405,0.085
32,Egypt,1699,29,66.192,24.192,6.552,1.504,0.366,0.065
33,Uzbekistan,1718,50,46.741,13.897,4.335,1.166,0.268,0.058
34,Sweden,1714,38,52.859,14.543,4.57,1.265,0.283,0.054
35,Ivory Coast,1676,34,63.331,19.42,5.189,1.173,0.248,0.042
36,Jordan,1685,63,38.384,9.217,2.749,0.617,0.138,0.03
37,Congo DR,1655,46,31.674,7.703,2.045,0.491,0.091,0.021
38,Tunisia,1633,44,32.148,6.616,1.577,0.347,0.068,0.013
39,Bosnia and Herzegovina,1591,65,57.208,15.883,3.676,0.52,0.076,0.006
40,Saudi Arabia,1566,61,28.013,5.37,1.005,0.146,0.023,0.006
41,Cabo Verde,1576,69,29.554,5.886,1.199,0.196,0.026,0.005
42,Iraq,1608,57,17.029,3.864,0.944,0.169,0.033,0.004
43,South Africa,1518,60,25.09,5.938,0.995,0.109,0.015,0.004
44,New Zealand,1563,85,32.414,7.482,1.206,0.166,0.03,0.003
45,Haiti,1554,83,21.385,4.067,0.737,0.109,0.015,0.003
46,Ghana,1510,74,15.093,2.065,0.337,0.034,0.005,0.001
47,Qatar,1423,55,19.258,2.91,0.36,0.026,0.002,0.0
48,Curacao,1433,82,12.498,1.721,0.198,0.016,0.002,0.0
